검색조건
대출기간,2026-01-01 ~ 2026-06-27
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-06-28
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"166","빨간내복야코 안 읽으면 완전 위험한 과학책","빨간내복야코 원작 ;이영아 그림","위즈덤하우스","2024","2","9791171713417","77400","400","7,490",
"167","시한부 :백은별 장편소설 ","지은이: 백은별","바른북스","2024","","9791193647646","03810","813.7","7,473",
"168","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","5","9791168411692","77810","691","7,431",
"169","야옹이 수영 교실 ","신현경 글 ;노예지 그림","인플루엔셜","2023","","9791168341180","77810","813.7","7,425",
"170","흔한남매 21","흔한남매 (지은이), 백난도 (글), 유난희 (그림), 흔한컴퍼니 (감수)","미래엔아이세움","2025","21","9791175484290","","","7,418",
"171","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","1","9791164134649","74810","816.7","7,415",
"172","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","03810","813.62","7,413",
"173","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","2","9791164137879","77810","691","7,394",
"174","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","3","9791164138715","77810","691","7,387",
"175","여름을 한 입 베어 물었더니 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2023","","9788954694575","03810","813.7","7,378",
"176","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","6","9791173476051","77400","400","7,371",
"177","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","4","9791164138425","77490","472","7,367",
"178","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","17","9791168122369","67400","408","7,350",
"179","당연하게도 나는 너를 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2023","","9791167550972","43810","813.7","7,342",
"180","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","0","9788934938224","77400","400","7,330",
"181","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","6","9791168411029","77490","472","7,327",
"182","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","2","9791168416628","74810","980.2","7,311",
"183","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","03810","813.7","7,296",
"184","나의 돈키호테 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2024","","9791161571768","03810","813.7","7,285",
"184","여름은 고작 계절 :김서해 장편소설 ","지은이: 김서해","위즈덤하우스","2025","","9791171713929","03810","813.7","7,285",
"186","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","7,219",
"187","최소한의 삼국지 :최태성의 삼국지 고전 특강 ","최태성 지음","프런트페이지","2025","","9791193401583","03150","912.033","7,208",
"188","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","03810","813.7","7,200",
